cen_tract,longitude,latitude,prem,building,t_ded,med_income
1051031000,-86.4,32.5,600,1,1.25,50086
1051031000,-86.4,32.5,301,2,1.25,50086
1051031000,-86.4,32.5,339,1,1.25,50086
1051031000,-86.4,32.5,1431,1,2,50086
1051031000,-86.4,32.5,517,1,2,50086
1051031000,-86.4,32.5,662,1,5,50086
1051031000,-86.4,32.5,766,1,5,50086
1053969900,-87.1,31.1,513,1,1.25,36322
1053970300,-87.2,31,789,5,1,29492
1055001300,-86,34,2160,2,5,27182
1055001300,-86,34,2341,2,2,27182
1055001300,-86,34,533,3,5,27182
1055001300,-86,34,679,2,1,27182
1055001300,-86,34,611,1,1.25,27182
1055001300,-86,34,464,2,1.25,27182
1055001300,-86,34,815,3,5,27182
1055001300,-86,34,611,2,1.25,27182
1055010200,-86.1,34,843,2,1.5,32519
1055010200,-86.1,34,254,2,5,32519
1055010200,-86.1,34,788,1,4,32519
1055010402,-86.1,33.9,977,3,1.25,57621
1055010402,-86.1,33.9,286,2,2,57621
1055010402,-86.1,33.9,296,3,1.25,57621
1055010402,-86.1,33.9,155,3,5,57621
1055010402,-86.1,33.9,173,2,5,57621
1055010402,-86.1,33.9,353,3,5,57621
1055010501,-86,33.9,979,2,1.25,72697
1055010501,-86,33.9,531,3,5,72697
1055010501,-86,33.9,217,2,5,72697
1055010501,-86,33.9,857,2,5,72697
1055010501,-86,33.9,884,3,1.25,72697
1055010501,-86,33.9,1573,2,5,72697
1055010501,-86,33.9,235,3,1.25,72697
1055010501,-86,33.9,966,2,1.25,72697
1055010602,-85.8,34.1,2847,5,5,40372
1055010700,-85.9,34,261,3,1.25,40543
1055010700,-85.9,34,1154,2,5,40543
1055010700,-85.9,34,685,3,5,40543
1055010700,-85.9,34,596,1,5,40543
1055010700,-85.9,34,370,2,1.25,40543
1055010700,-85.9,34,1358,2,1.25,40543
1055010700,-85.9,34,859,2,5,40543
1061050100,-86.1,31.1,1307,3,1,24362
1061050300,-85.9,31.1,1009,1,1.5,32500
1063060100,-87.8,33,474,1,1.25,26792
1063060100,-87.8,32.9,909,2,5,26792
1063060200,-88,32.8,488,1,5,21920
1063060200,-88.1,32.7,3573,2,3,21920
1063060200,-87.8,32.6,629,1,5,21920
1063060200,-88,32.7,1384,1,1.25,21920
1065040300,-87.8,32.8,313,2,1,24333
1065040400,-87.7,32.6,306,1,2,24368
1069040100,-85.5,31.2,241,2,5,47500
1069041100,-85.4,31.2,1632,1,2,32832
1069041100,-85.4,31.2,704,2,1.5,32832
1069041100,-85.4,31.2,1744,1,2,32832
1069041100,-85.4,31.2,320,1,5,32832
1069041100,-85.4,31.2,241,1,5,32832
1069041100,-85.4,31.2,978,1,2,32832
1069041100,-85.4,31.2,479,2,1.5,32832
1069041100,-85.4,31.2,702,1,1.25,32832
1069041100,-85.4,31.2,471,1,1,32832
1069041100,-85.4,31.2,178,2,5,32832
1069041100,-85.4,31.2,590,1,5,32832
1069041100,-85.4,31.2,931,2,5,32832
1069041100,-85.4,31.2,359,1,5,32832
1069041900,-85.2,31.1,799,1,5,39107
1071950300,-85.8,34.9,496,2,1.5,37203
1071950500,-86.3,34.6,237,2,1,35054
1071950600,-86,34.7,917,2,5,30839
1071950600,-86,34.7,1147,2,5,30839
1071950600,-86,34.7,532,2,1.25,30839
1071950600,-86,34.7,616,2,5,30839
1073003400,-86.9,33.5,2187,1,5,23600
1073003400,-86.9,33.5,859,2,2,23600
1073003400,-86.9,33.5,903,1,2,23600
1073003400,-86.9,33.5,794,2,5,23600
1073003400,-86.9,33.5,544,1,1.5,23600
1073003400,-86.9,33.5,789,2,2,23600
1073004500,-86.8,33.5,609,2,2,11927
1073004500,-86.8,33.5,782,1,5,11927
1073004500,-86.8,33.5,2062,1,2,11927
1073004500,-86.8,33.5,656,3,5,11927
1073004500,-86.8,33.5,643,2,5,11927
1073004500,-86.8,33.5,1036,2,3,11927
1073004500,-86.8,33.5,860,2,5,11927
1073004500,-86.8,33.5,1046,2,5,11927
1073004500,-86.8,33.5,523,2,5,11927
1073004500,-86.8,33.5,1476,2,2,11927
1073004500,-86.8,33.5,1064,2,5,11927
1073004500,-86.8,33.5,1508,2,5,11927
1073004500,-86.8,33.5,799,2,2,11927
1073004500,-86.8,33.5,375,3,5,11927
1073004500,-86.8,33.5,1650,2,2,11927
1073004500,-86.8,33.5,530,2,1.25,11927
1073004500,-86.8,33.5,421,2,2,11927
1073004500,-86.8,33.5,1323,1,5,11927
1073004500,-86.8,33.5,625,2,2,11927
1073004500,-86.8,33.5,502,2,1.5,11927
1073004500,-86.8,33.5,395,2,1.5,11927
1073004500,-86.8,33.5,520,2,1.25,11927
1073004500,-86.8,33.5,498,3,3,11927
1073004500,-86.8,33.5,2061,2,5,11927
1073005905,-86.7,33.6,612,2,2,41042
1073005905,-86.7,33.6,653,2,1.5,41042
1073005905,-86.7,33.6,863,2,1,41042
1073005905,-86.7,33.6,2210,1,5,41042
1073010805,-86.7,33.5,1847,2,2,114583
1073010805,-86.7,33.5,2767,2,2,114583
1073010805,-86.7,33.5,2179,1,2,114583
1073010805,-86.7,33.5,1695,2,2,114583
1073010805,-86.7,33.5,1519,2,2,114583
1073010805,-86.7,33.5,2047,3,2,114583
1073010805,-86.7,33.5,1218,2,2,114583
1073010805,-86.7,33.5,1400,1,2,114583
1073010805,-86.7,33.5,2430,2,5,114583
1073010805,-86.7,33.5,1676,2,5,114583
1073010805,-86.7,33.5,1182,2,2,114583
1073010805,-86.7,33.5,1314,2,5,114583
1073010805,-86.7,33.5,2142,2,2,114583
1073010805,-86.7,33.5,588,3,2,114583
1073010805,-86.7,33.5,499,3,2,114583
1073010805,-86.7,33.5,1478,2,2,114583
1073010805,-86.7,33.5,1382,1,5,114583
1073010805,-86.7,33.5,1554,2,2,114583
1073010805,-86.7,33.5,361,2,5,114583
1073010805,-86.7,33.5,1268,2,5,114583
